X,Y,region,altitude,surface,parcelle_active,plante_reference,climat,typo_pays_principale,typo_pays_secondaire,bassin_prod_principal,bassin_prod_secondaire,topographie,plan_eau,exposition,orientation_vent,enclave,corridor,drain,biogeoregions,geometry,temperature,land_cover,theta,presence_absence,observation
0.34046588161792,47.5915811263955,PAYS DE LOIRE,83,14.24,1,Mais,Oceanique a semi-oceanique nord,Bocage a dominante polyculture elevage,Zone forestiere,Bassin arboricole,Bassin arboricole,Plaine,0,Plein soleil,Sud-Ouest,0,1,1,,0.34046588161792|47.5915811263955,8.05446815490723,Extensive fields,0.273356491322304,0,Species not observed
0.272289993210191,47.5961031641681,PAYS DE LOIRE,83,9.92,1,Mais,Oceanique a semi-oceanique nord,Bocage a dominante polyculture elevage,Zone forestiere,Bassin arboricole,Bassin arboricole,Plaine,1,Plein soleil,Sud-Ouest,0,1,0,,0.272289993210191|47.5961031641681,8.16436195373535,Extensive fields,0.394558570319378,0,Species not observed
0.127016948927406,46.3279855600477,NOUVELLE-AQUITAINE,132,3.25,1,Mais,Oceanique a semi oceanique sud,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Sud-Ouest,0,0,0,,0.127016948927406|46.3279855600477,8.24196815490723,Extensive fields,0.489961542735801,0,Species not observed
1.94941217356007,47.0274910695378,CENTRE-VAL DE LOIRE,138,27.57,1,Ble,Semi-continental sud,Open field,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Sud-Ouest,0,1,0,,1.94941217356007|47.0274910695378,8.13881874084473,Extensive fields,0.364495191960914,1,Species observed
2.61541805322179,48.1329955907157,ILE-DE-FRANCE,100,10,1,Ble,Semi-oceanique,Open field,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Sud-Ouest,0,0,0,,2.61541805322179|48.1329955907157,7.68993520736694,Extensive fields,0.0573066720505579,0,Species not observed
4.45545520716445,49.4364530190669,GRAND-EST,90,5,1,Mais,Semi-continental nord,Open field,Paysage mixte,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Plein soleil,Sud-Ouest,0,1,0,,4.45545520716445|49.4364530190669,6.48140859603882,Extensive fields,0.000144374288546411,0,Species not observed
4.79669672635801,45.0980332620537,AUVERGNE-RHONE-ALPES,200,0.3,1,Vigne,Semi-continental sud,Open field,Zone forestiere,Bassin viticole,Bassin viticole,Autres,0,Plein soleil,Nord,1,0,0,,4.79669672635801|45.0980332620537,7.92296743392944,Agro-natural fields,2.53538422149825e-06,0,Species not observed
5.7991301091358,45.9001533840461,AUVERGNE-RHONE-ALPES,350,0.84,1,Vigne,Semi-continental sud,Paysage mixte,Bocage a dominante polyculture elevage,Bassin viticole,Bassin viticole,Bas de coteau,0,Plein soleil,Nord,0,0,0,,5.7991301091358|45.9001533840461,5.07863759994507,Agro-natural fields,1.68912241948532e-12,0,Species not observed
5.02693854204541,45.9409795033499,AUVERGNE-RHONE-ALPES,285,6.2,1,Ble,Semi-continental sud,Paysage mixte,"Milieux aquatiques, zones humides",Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord,0,1,0,,5.02693854204541|45.9409795033499,7.78426504135132,Extensive fields,0.0887758070044141,0,Species not observed
0.281572416264646,46.5964272685913,NOUVELLE-AQUITAINE,142,0.8,1,Vigne,Oceanique a semi oceanique sud,Open field,Information inconnue,Bassin viticole,Bassin viticole,Plateau,0,Plein soleil,Nord,0,0,0,,0.281572416264646|46.5964272685913,8.31807899475098,Agro-natural fields,1.82814566828244e-05,0,Species not observed
0.29899184083495,46.7325883822057,NOUVELLE-AQUITAINE,75,0.81,1,Ble,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone maraichere,Zone maraichere,Plaine,0,Plein soleil,Nord,0,1,0,,0.29899184083495|46.7325883822057,8.37688636779785,Extensive fields,0.653493687919932,1,Species observed
4.72165387560087,45.665939221442,AUVERGNE-RHONE-ALPES,360,0.5,1,Salade,Semi-continental sud,Bocage a dominante polyculture elevage,Paysage mixte,Zone de polyculture-elevage,Zone de polyculture-elevage,Autres,0,Plein soleil,Nord,0,1,0,,4.72165387560087|45.665939221442,7.57235097885132,Extensive fields,0.0326648607696533,0,Species not observed
5.07016889055476,47.2343254291058,BOURGOGNE-FRANCHE-COMTE,,9.6,1,Ble,Semi-continental nord,Paysage mixte,"",Autres,Autres,Plaine,0,Plein soleil,Nord,0,0,0,,5.07016889055476|47.2343254291058,7.35707998275757,Extensive fields,0.0113783408558281,0,Species not observed
5.08973773561687,47.2856660288992,BOURGOGNE-FRANCHE-COMTE,,9.58,1,Ble,Semi-continental nord,Paysage mixte,"",Autres,Autres,Plaine,0,Plein soleil,Nord,0,0,0,,5.08973773561687|47.2856660288992,7.35707998275757,Extensive fields,0.0113783408558281,0,Species not observed
